"gene_id","module_name","module_color"
"ASV_733","module_6","red"
"ASV_726","module_0","grey"
"ASV_1908","module_2","blue"
"ASV_715","module_0","grey"
"ASV_771","module_0","grey"
"ASV_738","module_5","green"
"ASV_1300","module_5","green"
"ASV_728","module_1","turquoise"
"ASV_1325","module_2","blue"
"ASV_819","module_1","turquoise"
"ASV_835","module_0","grey"
"ASV_754","module_1","turquoise"
"ASV_732","module_5","green"
"ASV_1057","module_2","blue"
"ASV_811","module_0","grey"
"ASV_748","module_0","grey"
"ASV_1062","module_2","blue"
"ASV_1570","module_2","blue"
"ASV_799","module_6","red"
"ASV_751","module_1","turquoise"
"ASV_806","module_0","grey"
"ASV_1140","module_4","yellow"
"ASV_802","module_0","grey"
"ASV_808","module_1","turquoise"
"ASV_967","module_0","grey"
"ASV_1101","module_4","yellow"
"ASV_2293","module_4","yellow"
"ASV_774","module_0","grey"
"ASV_815","module_1","turquoise"
"ASV_1413","module_4","yellow"
"ASV_1348","module_9","magenta"
"ASV_783","module_8","pink"
"ASV_884","module_0","grey"
"ASV_861","module_0","grey"
"ASV_853","module_0","grey"
"ASV_838","module_6","red"
"ASV_857","module_1","turquoise"
"ASV_848","module_7","black"
"ASV_1044","module_8","pink"
"ASV_823","module_1","turquoise"
"ASV_1129","module_4","yellow"
"ASV_1642","module_9","magenta"
"ASV_859","module_1","turquoise"
"ASV_794","module_1","turquoise"
"ASV_831","module_1","turquoise"
"ASV_841","module_1","turquoise"
"ASV_795","module_0","grey"
"ASV_874","module_0","grey"
"ASV_1624","module_9","magenta"
"ASV_2035","module_2","blue"
"ASV_791","module_6","red"
"ASV_1684","module_9","magenta"
"ASV_2289","module_2","blue"
"ASV_1251","module_5","green"
"ASV_909","module_0","grey"
"ASV_1165","module_5","green"
"ASV_883","module_1","turquoise"
"ASV_875","module_6","red"
"ASV_907","module_0","grey"
"ASV_786","module_0","grey"
"ASV_825","module_1","turquoise"
"ASV_927","module_0","grey"
"ASV_939","module_6","red"
"ASV_1163","module_4","yellow"
"ASV_985","module_0","grey"
